Season,Building type,Cooling startegy_building level,Climate,Thermal sensation,Koppen climate classification,Clo,Met,Thermal preference,Relative humidity,Air velocity,Country,Air temperature
1,2,2,12,0.0,2,0.72,1.0,0,42.0,0.08,6,27.1
1,2,2,12,2.0,2,0.72,1.0,1,42.0,0.08,6,27.1
1,2,2,12,0.0,2,0.72,1.0,1,42.0,0.08,6,27.1
1,2,2,12,-1.0,2,0.72,1.0,2,42.0,0.08,6,27.1
1,2,2,12,0.0,2,0.72,1.0,0,42.0,0.08,6,27.1
1,2,2,12,-2.0,2,0.72,1.0,2,42.0,0.08,6,27.1
1,2,2,12,-1.0,2,0.64,1.0,0,43.0,0.14,6,27.0
1,2,2,12,-1.0,2,0.7,1.0,2,43.0,0.14,6,27.0
1,2,2,12,-2.0,2,0.72,1.0,2,43.0,0.14,6,27.0
1,2,2,12,1.0,2,0.97,1.0,1,43.0,0.14,6,27.0
1,2,2,12,-1.0,2,0.72,1.0,2,43.0,0.14,6,27.0
1,2,2,12,-2.0,2,0.68,1.0,2,43.0,0.14,6,27.0
1,2,2,12,-3.0,2,0.72,1.0,2,59.0,0.1,6,26.7
1,2,2,12,2.0,2,0.7,1.0,1,59.0,0.1,6,26.7
1,2,2,12,2.0,2,0.7,1.0,1,59.0,0.1,6,26.7
1,2,2,12,2.0,2,0.64,1.0,1,59.0,0.1,6,26.7
1,2,2,12,2.0,2,0.65,1.0,1,59.0,0.1,6,26.7
1,2,2,12,-1.0,2,0.64,1.0,2,59.0,0.05,6,20.8
1,2,2,12,2.0,2,0.66,1.0,1,59.0,0.05,6,20.8
1,2,2,12,0.0,2,0.7,1.0,1,59.0,0.05,6,20.8
1,2,2,12,0.0,2,0.62,1.0,0,59.0,0.05,6,20.8
1,2,2,12,-1.0,2,0.72,1.0,1,59.0,0.05,6,20.8
1,2,2,12,1.0,2,0.72,1.0,0,59.0,0.05,6,20.8
1,2,2,12,3.0,2,0.66,1.0,1,59.0,0.05,6,20.8
1,2,2,12,-1.0,2,0.64,1.0,2,60.0,0.08,6,26.9
1,2,2,12,1.0,2,0.66,1.0,1,60.0,0.08,6,26.9
1,2,2,12,1.0,2,0.72,1.0,1,69.0,0.03,6,27.2
1,2,2,12,1.0,2,0.72,1.0,1,69.0,0.03,6,27.2
1,2,2,12,0.0,2,0.75,1.0,0,69.0,0.03,6,27.2
1,2,2,12,0.0,2,0.75,1.0,0,69.0,0.03,6,27.2
1,2,2,12,-1.0,2,0.64,1.0,0,69.0,0.03,6,27.2
1,2,2,12,-1.0,2,0.7,1.0,2,69.0,0.03,6,27.2
1,2,0,12,3.0,2,0.72,1.0,1,66.0,0.15,6,31.6
1,2,0,12,2.0,2,0.7,1.0,1,66.0,0.15,6,31.6
1,2,0,12,3.0,2,0.64,1.0,1,66.0,0.15,6,31.6
1,2,0,12,3.0,2,0.64,1.0,1,66.0,0.15,6,31.6
1,2,0,12,3.0,2,0.9,1.0,1,66.0,0.15,6,31.6
1,2,0,12,3.0,2,0.9,1.0,1,66.0,0.15,6,31.6
1,2,0,12,3.0,2,0.75,1.0,1,68.0,0.21,6,31.4
1,2,0,12,0.0,2,0.64,1.0,1,68.0,0.15,6,31.4
